ID;Store;Date;IsHoliday;Dept;Weekly_Sales;Temperature;Fuel_Price;MarkDown1;MarkDown2;MarkDown3;MarkDown4;MarkDown5;CPI;Unemployment;Type;Size;Sales_Category;Profit_Estimate
7170;1;6/1/2012;0;17;8086,43;49,01;3,157;6277,39;21813,16;143,1;1450,13;8483;219,7142581;7,348;3;151315;Low;808,643
7180;1;6/1/2012;0;18;7018,32;49,01;3,157;6277,39;21813,16;143,1;1450,13;8483;219,7142581;7,348;3;151315;Low;701,832
7181;1;6/1/2012;0;19;607,22;49,01;3,157;6277,39;21813,16;143,1;1450,13;8483;219,7142581;7,348;3;151315;Low;60,722
7184;1;6/1/2012;0;12;7634,97;49,01;3,157;6277,39;21813,16;143,1;1450,13;8483;219,7142581;7,348;3;151315;Low;763,497
7192;1;6/1/2012;0;1;16567,69;49,01;3,157;6277,39;21813,16;143,1;1450,13;8483;219,7142581;7,348;3;151315;Low;1656,769
7195;1;6/1/2012;0;16;6258,08;49,01;3,157;6277,39;21813,16;143,1;1450,13;8483;219,7142581;7,348;3;151315;Low;625,808
7198;1;6/1/2012;0;7;12377,76;49,01;3,157;6277,39;21813,16;143,1;1450,13;8483;219,7142581;7,348;3;151315;Low;1237,776
7200;1;6/1/2012;0;4;40925,76;49,01;3,157;6277,39;21813,16;143,1;1450,13;8483;219,7142581;7,348;3;151315;High;4092,576
7203;1;6/1/2012;0;5;23105,81;49,01;3,157;6277,39;21813,16;143,1;1450,13;8483;219,7142581;7,348;3;151315;High;2310,581
7206;1;6/1/2012;0;11;25666,34;49,01;3,157;6277,39;21813,16;143,1;1450,13;8483;219,7142581;7,348;3;151315;High;2566,634
7207;1;6/1/2012;0;10;29927,33;49,01;3,157;6277,39;21813,16;143,1;1450,13;8483;219,7142581;7,348;3;151315;High;2992,733
7208;1;6/1/2012;0;8;36797;49,01;3,157;6277,39;21813,16;143,1;1450,13;8483;219,7142581;7,348;3;151315;High;3679,7
7211;1;6/1/2012;0;2;44481,38;49,01;3,157;6277,39;21813,16;143,1;1450,13;8483;219,7142581;7,348;3;151315;High;4448,138
7212;1;6/1/2012;0;20;3246,33;49,01;3,157;6277,39;21813,16;143,1;1450,13;8483;219,7142581;7,348;3;151315;Low;324,633
7214;1;6/1/2012;0;3;13926,04;49,01;3,157;6277,39;21813,16;143,1;1450,13;8483;219,7142581;7,348;3;151315;Low;1392,604
7215;1;6/1/2012;0;6;3665,25;49,01;3,157;6277,39;21813,16;143,1;1450,13;8483;219,7142581;7,348;3;151315;Low;366,525
7221;1;6/1/2012;0;14;14585,64;49,01;3,157;6277,39;21813,16;143,1;1450,13;8483;219,7142581;7,348;3;151315;Low;1458,564
7229;1;6/1/2012;0;13;41411,4;49,01;3,157;6277,39;21813,16;143,1;1450,13;8483;219,7142581;7,348;3;151315;High;4141,14
7236;1;6/1/2012;0;9;20705,21;49,01;3,157;6277,39;21813,16;143,1;1450,13;8483;219,7142581;7,348;3;151315;High;2070,521
7241;1;13/1/2012;0;1;16894,4;48,53;3,261;5183,29;8025,87;42,24;453,08;3719,38;219,8925263;7,348;3;151315;Low;1689,44
